timestamp,src_ip,dst_ip,query
2024-11-26 11:49:38.458138,10.11.26.183,10.11.26.3,www.msftconnecttest.com
2024-11-26 11:49:38.487199,10.11.26.3,10.11.26.183,www.msftconnecttest.com
2024-11-26 11:49:38.918598,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.nemotoads.health
2024-11-26 11:49:38.918662,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.nemotoads.health
2024-11-26 11:49:38.918790,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:49:38.918835,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:49:38.919063,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.nemotoads.health
2024-11-26 11:49:38.919107,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.nemotoads.health
2024-11-26 11:49:38.919159,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:49:38.919159,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:49:38.919273,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:49:38.919350,10.11.26.183,10.11.26.3,wpad.mshome.net
2024-11-26 11:49:38.919448,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:49:38.919535,10.11.26.3,10.11.26.183,wpad.mshome.net
2024-11-26 11:49:40.633212,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:40.654972,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:40.680041,10.11.26.183,10.11.26.3,_ldap._tcp.dc._msdcs.mshome.net
2024-11-26 11:49:40.699884,10.11.26.3,10.11.26.183,_ldap._tcp.dc._msdcs.mshome.net
2024-11-26 11:49:41.134947,10.11.26.183,10.11.26.3,licensing.mp.microsoft.com
2024-11-26 11:49:41.194894,10.11.26.3,10.11.26.183,licensing.mp.microsoft.com
2024-11-26 11:49:41.401527,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:41.401879,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:41.705829,10.11.26.183,10.11.26.3,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:41.706179,10.11.26.3,10.11.26.183,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net
2024-11-26 11:49:41.706538,10.11.26.183,10.11.26.3,_ldap._tcp.dc._msdcs.mshome.net
2024-11-26 11:49:41.706702,10.11.26.3,10.11.26.183,_ldap._tcp.dc._msdcs.mshome.net
2024-11-26 11:49:42.134433,10.11.26.183,10.11.26.3,client.wns.windows.com
2024-11-26 11:49:42.155551,10.11.26.3,10.11.26.183,client.wns.windows.com
2024-11-26 11:49:44.252200,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:49:44.252200,10.11.26.183,10.11.26.3,wpad.nemotoads.health
2024-11-26 11:49:44.252589,10.11.26.3,10.11.26.183,wpad.nemotoads.health
2024-11-26 11:49:44.252645,10.11.26.3,10.11.26.183,wpad.nemotoads.health
