frame_no,timestamp,src_ip,dst_ip,tls_version,tls_version_int,cipher_suites_count,extensions_count,ec_groups_count,ec_pf_count,ja3_hash,ja3_raw
83,1749828839.95557,10.6.13.133,173.222.52.33,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
105,1749828840.235008,10.6.13.133,52.156.123.84,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
148,1749828841.277021,10.6.13.133,104.208.203.90,0x0303,771,1,0,0,0,6a5d235ee78c6aede6a61448b4e9ff1e,"771,47,,,"
436,1749828853.516315,10.6.13.133,20.190.135.6,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
480,1749828854.994932,10.6.13.133,13.107.42.16,0x0303,771,1,0,0,0,a1e5d5ebe1a6408473bbbbaa8b84e305,"771,53,,,"
526,1749828855.33595,10.6.13.133,204.79.197.203,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
608,1749828856.061202,10.6.13.133,23.212.185.76,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
634,1749828856.2821,10.6.13.133,13.107.42.16,0x0303,771,1,0,0,0,1dfdf8b4692a65028e058a9c3d6b6e1d,"771,53,,,"
846,1749828864.282468,10.6.13.133,150.171.27.11,0x0303,771,1,0,0,0,4731ba70650318ea50569c0913c77764,"771,53,,,"
952,1749828864.658831,10.6.13.133,40.126.29.13,0x0303,771,1,0,0,0,fae0e5d973c96ae1888b99538efa0363,"771,47,,,"
1003,1749828866.30216,10.6.13.133,23.198.7.180,0x0303,771,1,0,0,0,aa9af238013cce692f57133bc5d0e3cb,"771,53,,,"
1050,1749828866.613116,10.6.13.133,150.171.28.11,0x0303,771,1,0,0,0,1d3f56f9a89b56c77b7a12eaad3b7a66,"771,53,,,"
1097,1749828878.622234,10.6.13.133,142.250.115.99,0x0303,771,1,0,0,0,8b6a570ee2e4c228f0faeede52bba79a,"771,53,,,"
1241,1749828879.133071,10.6.13.133,173.194.208.155,0x0303,771,1,0,0,0,e8f5b748df92ec7612d33c662b514849,"771,53,,,"
1463,1749828879.439445,10.6.13.133,142.250.113.95,0x0303,771,1,0,0,0,27769023a2420790ae3bba9fa8619123,"771,53,,,"
1504,1749828879.584742,10.6.13.133,142.250.113.95,0x0303,771,1,0,0,0,1e9de55d905bae2e1d0699779cde251e,"771,53,,,"
1838,1749828880.047757,10.6.13.133,142.251.186.138,0x0303,771,1,0,0,0,920a33640e0bea3d3444d1eaa770f987,"771,53,,,"
1949,1749828880.181627,10.6.13.133,142.251.186.138,0x0303,771,1,0,0,0,6bfaeedf6b4b4c1316705775dc9fd4aa,"771,53,,,"
2224,1749828885.381622,10.6.13.133,205.174.24.80,0x0303,771,1,0,0,0,72c42b597385a7d84f5314ef19ab20e0,"771,53,,,"
2774,1749828886.047947,10.6.13.133,142.250.115.95,0x0303,771,1,0,0,0,897bf051ef1a791a05d197d95347cd93,"771,53,,,"
2779,1749828886.061705,10.6.13.133,142.250.115.106,0x0303,771,1,0,0,0,87f3b6eb8c79c429ff8c343602aa1f31,"771,53,,,"
3096,1749828886.320865,10.6.13.133,142.250.138.97,0x0303,771,1,0,0,0,38cc4b5549db0589298f88ac7dac1fbf,"771,53,,,"
3142,1749828886.375249,10.6.13.133,142.250.115.94,0x0303,771,1,0,0,0,298241c5506514d17333249c3e4d0483,"771,53,,,"
3235,1749828886.384809,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,f771c804c691561f9dd12b48a860cec9,"771,53,,,"
3239,1749828886.385754,10.6.13.133,150.171.27.11,0x0303,771,1,0,0,0,793c740e3ab8eeb778506ea847c9448e,"771,53,,,"
3241,1749828886.386305,10.6.13.133,173.194.208.94,0x0303,771,1,0,0,0,87d4d84468d20b1b16cb8691581aab50,"771,53,,,"
3243,1749828886.387332,10.6.13.133,109.61.92.48,0x0303,771,1,0,0,0,10ed543421f989b58711840932c0335d,"771,53,,,"
3250,1749828886.401559,10.6.13.133,67.217.228.199,0x0303,771,1,0,0,0,7caf7e10f7a9570e003fbc03d5fdbdfd,"771,53,,,"
3270,1749828886.44098,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,f771c804c691561f9dd12b48a860cec9,"771,53,,,"
3967,1749828886.682901,10.6.13.133,109.61.92.48,0x0303,771,1,0,0,0,d19bdf9b59bf282ec749afe0e3ccb067,"771,53,,,"
3993,1749828886.738566,10.6.13.133,142.250.115.104,0x0303,771,1,0,0,0,0c9a6ac1f3cd32dcec4dc036a45c6913,"771,53,,,"
4202,1749828886.821455,10.6.13.133,157.240.24.13,0x0303,771,1,0,0,0,3ca12c2c8576bccc88bdad93880750f5,"771,53,,,"
4397,1749828886.921701,10.6.13.133,142.250.115.94,0x0303,771,1,0,0,0,0638d4422a0299f1fbed3fd318638b3f,"771,53,,,"
4403,1749828886.922025,10.6.13.133,142.250.115.94,0x0303,771,1,0,0,0,eed42201108f92251f2b55c999844ce2,"771,53,,,"
4512,1749828887.001377,10.6.13.133,216.239.38.181,0x0303,771,1,0,0,0,885d735bb6a3863945c07e3ace34576d,"771,53,,,"
4514,1749828887.001778,10.6.13.133,44.239.34.26,0x0303,771,1,0,0,0,27eeb99e62533c18383b670e6eba42be,"771,53,,,"
4518,1749828887.011747,10.6.13.133,142.250.138.155,0x0303,771,1,0,0,0,3e8c6b440ca529f5d6c66d6ec3cee440,"771,53,,,"
4732,1749828887.092549,10.6.13.133,23.96.124.68,0x0303,771,1,0,0,0,b926ceb631a6a9fffc8ab9d9ca8b7498,"771,53,,,"
4979,1749828887.209839,10.6.13.133,157.240.24.35,0x0303,771,1,0,0,0,463bcc4898b0955376c868482631ba20,"771,53,,,"
4981,1749828887.211625,10.6.13.133,157.240.24.35,0x0303,771,1,0,0,0,7020de5657e1db8c8fdde64d2f431cb9,"771,53,,,"
4983,1749828887.212462,10.6.13.133,157.240.24.35,0x0303,771,1,0,0,0,0af4445bd559fdb0d42b375396a00dda,"771,53,,,"
4994,1749828887.221706,10.6.13.133,23.96.124.68,0x0303,771,1,0,0,0,396cb7b45a58ed530c7486e1c0e712c3,"771,53,,,"
5048,1749828887.261959,10.6.13.133,173.194.208.94,0x0303,771,1,0,0,0,33ef3984d42c1f3ea4558b7737d7dba8,"771,53,,,"
5095,1749828887.299627,10.6.13.133,23.96.124.68,0x0303,771,1,0,0,0,373c0f9c07cea2ee0df48e12aeeecfc2,"771,53,,,"
5273,1749828888.494063,10.6.13.133,104.16.124.96,0x0303,771,1,0,0,0,14e4d481bde34e23852020ece926a05b,"771,53,,,"
5301,1749828888.641724,10.6.13.133,67.217.228.199,0x0303,771,1,0,0,0,25b40a318b94ac56079b47f40df6c0fa,"771,53,,,"
5371,1749828893.834361,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,b1c1da86d854ef2a32a5e4d88aeeac21,"771,53,,,"
5375,1749828893.881739,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,b1c1da86d854ef2a32a5e4d88aeeac21,"771,53,,,"
5486,1749828901.001279,10.6.13.133,204.79.197.222,0x0303,771,1,0,0,0,28292c517683a55aff2f4ea954d2d0b3,"771,53,,,"
5490,1749828901.062883,10.6.13.133,204.79.197.222,0x0303,771,1,0,0,0,28292c517683a55aff2f4ea954d2d0b3,"771,53,,,"
5549,1749828903.292917,10.6.13.133,150.171.73.254,0x0303,771,1,0,0,0,b8e23658c2fd05758c3107d73120e94e,"771,53,,,"
5553,1749828903.336324,10.6.13.133,150.171.73.254,0x0303,771,1,0,0,0,b8e23658c2fd05758c3107d73120e94e,"771,53,,,"
5591,1749828903.562729,10.6.13.133,52.113.196.254,0x0303,771,1,0,0,0,dce338e0998e2d395e8d97fb7053e38f,"771,53,,,"
5595,1749828903.625132,10.6.13.133,52.113.196.254,0x0303,771,1,0,0,0,dce338e0998e2d395e8d97fb7053e38f,"771,53,,,"
5629,1749828904.057867,10.6.13.133,191.232.215.149,0x0303,771,1,0,0,0,f12d331b2318f504066e595b4383aa34,"771,53,,,"
5632,1749828904.237373,10.6.13.133,191.232.215.149,0x0303,771,1,0,0,0,f12d331b2318f504066e595b4383aa34,"771,53,,,"
5687,1749828910.141313,10.6.13.133,172.202.65.254,0x0303,771,1,0,0,0,83c12e1fec061a490805ea1bac77c004,"771,53,,,"
5691,1749828910.194036,10.6.13.133,172.202.65.254,0x0303,771,1,0,0,0,83c12e1fec061a490805ea1bac77c004,"771,53,,,"
5729,1749828910.473324,10.6.13.133,13.107.42.10,0x0303,771,1,0,0,0,6f6e2c24d53301b5c80f21a31c9a57b5,"771,53,,,"
5733,1749828910.534517,10.6.13.133,13.107.42.10,0x0303,771,1,0,0,0,6f6e2c24d53301b5c80f21a31c9a57b5,"771,53,,,"
5774,1749828910.798925,10.6.13.133,13.107.18.254,0x0303,771,1,0,0,0,1abbd519b939d7926b45572a9d343e79,"771,53,,,"
5778,1749828910.852025,10.6.13.133,13.107.18.254,0x0303,771,1,0,0,0,1abbd519b939d7926b45572a9d343e79,"771,53,,,"
5903,1749828914.641761,10.6.13.133,150.171.27.11,0x0303,771,1,0,0,0,2040c1c40bcb72c70769982a2c59b932,"771,53,,,"
6010,1749828923.85547,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,28100f9d4fe3ae629d72d1ddbeb97640,"771,53,,,"
6015,1749828923.979678,10.6.13.133,13.107.246.57,0x0303,771,1,0,0,0,28100f9d4fe3ae629d72d1ddbeb97640,"771,53,,,"
6038,1749828924.131136,10.6.13.133,150.171.28.11,0x0303,771,1,0,0,0,fd66ffd66892d06aa263d8e98ab215fd,"771,53,,,"
6352,1749828931.768208,10.6.13.133,20.189.173.6,0x0303,771,1,0,0,0,0375628a5040afca5a7a90c03df4ba0f,"771,53,,,"
6357,1749828931.859221,10.6.13.133,20.189.173.6,0x0303,771,1,0,0,0,0375628a5040afca5a7a90c03df4ba0f,"771,53,,,"
6478,1749828933.326662,10.6.13.133,20.190.135.6,0x0303,771,1,0,0,0,091f51a7a1c3a4504a224cc081ce9cee,"771,47,,,"
