timestamp,src_ip,dst_ip,method,host,uri,user_agent
2025-06-13 22:34:00.479901,10.6.13.133,23.192.223.206,GET,www.msftconnecttest.com,/connecttest.txt,Microsoft NCSI
2025-06-13 22:34:00.511740,23.192.223.206,10.6.13.133,,,,
2025-06-13 22:34:14.619210,10.6.13.133,217.20.51.22,GET,ctldl.windowsupdate.com,/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?7092facacff507f7,Microsoft-CryptoAPI/10.0
2025-06-13 22:34:14.652131,217.20.51.22,10.6.13.133,,,,
2025-06-13 22:34:14.767759,10.6.13.133,217.20.51.22,GET,ctldl.windowsupdate.com,/msdownload/update/v3/static/trustedr/en/authrootstl.cab?14a7b69d3530a12d,Microsoft-CryptoAPI/10.0
2025-06-13 22:34:14.801729,217.20.51.22,10.6.13.133,,,,
2025-06-13 22:35:21.938810,10.6.13.133,10.6.13.129,POST,10.6.13.129:5357,/e762ae39-f18a-00e7-ba68-e9ffd915458c/,WSDAPI
2025-06-13 22:35:21.941959,10.6.13.129,10.6.13.133,,,,
2025-06-13 22:35:48.818186,10.6.13.133,104.21.24.186,GET,event-time-microsoft.org,/zh0GPFZdKt,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.4202
2025-06-13 22:35:51.009944,104.21.24.186,10.6.13.133,,,,
2025-06-13 22:35:58.461012,10.6.13.133,104.21.112.1,POST,eventdata-microsoft.live,/NV4RgNEu,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.4202
2025-06-13 22:36:25.013538,104.21.112.1,10.6.13.133,,,,
2025-06-13 22:37:25.399582,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/YSEpJj/CPZldd&293d91c90fd4799580711a44a9c358fa/R5n6W,
2025-06-13 22:37:55.499370,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/LIO92KGFa/7QqunUIPqCFL&1921d1790d9439a1582f369aaae9e8f5/mPF2uwY27hew2E,
2025-06-13 22:38:25.577922,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/sJwNeqH/O&1521b1b8cdb449a1d36b097f9cdf2430/dMhL,
2025-06-13 22:38:55.714116,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/bmvLMt6UaBCc/22jMpHiZLgaCY4&354f9148f3b439a1433a5327275539f4/r,
2025-06-13 22:39:25.917868,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/Y/aVO65eLBJkt2Tn&d120b0d80e343591742fa2c82d99671d,
2025-06-13 22:39:55.969477,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/zj0/95rep&31205efb7d9469b1852377d9e86394ad,
2025-06-13 22:40:26.050750,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/GTLBbfAXRm28/Wl0&353db0b803b44d954fd148bf3f5662db/Go4whW0sne,
2025-06-13 22:40:56.153921,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/xhuaU98DQz/PsgCI&312492d84dd469a1c5acddef4e47d4f1/9cu,
2025-06-13 22:41:26.254891,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/lCbuW2fPKbNhcU/0yk&31c7b1580f344de14d7c6a2e3d19c3c0/ofJqoxoJi28,
2025-06-13 22:41:56.666239,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/rpyGYah/&153fb1492dd469b1d3406f2116ca55a9/2i,
2025-06-13 22:42:26.755550,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/bck3He5bknO2/R1tmn&352091481234b995a626d5b736b72c3b/FwtKu,
2025-06-13 22:42:57.025042,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/0Wf2VP3dC/KzXonG6YfLGvt&353c91580bd4797de2009a0a7b0dcd86/eo7zfb61GX,
2025-06-13 22:43:27.113229,10.6.13.133,104.21.16.1,POST,event-datamicrosoft.live,/xgO1ItkW/CyE23hDWoPYU&35208ec92fd47db563ae8fe2f5ceda2b/ieIMojFvTYX3,
2025-06-13 22:43:57.234368,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/BqMun/WTM5Lh4r&34c49148ff344d91caf59e07011ba39c,
2025-06-13 22:44:27.323864,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/sW8/bu&3520d1486db449bdcf27b8b462fda4af/o04Cpg8w,
2025-06-13 22:44:57.545916,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/4hzRwPQh/17LxRwB2bJ4a&313d91cf5d347a61c5a11043d01d0c11/bxS8Fjsz,
2025-06-13 22:45:27.641827,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/64/VH5hLdF&58c19148031479a5b8f713046f27cd23/0,
2025-06-13 22:45:57.830889,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/thsMuIdYY/BJdyr5n&3520b0c80dd4ad6167cbe4c16a0f3384/X2f5k,
2025-06-13 22:46:11.970638,10.6.13.133,23.192.223.240,GET,acroipm2.adobe.com,/assets/Owner/arm/ProcessMAU.txt,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)
2025-06-13 22:46:12.027152,23.192.223.240,10.6.13.133,,,,
2025-06-13 22:46:27.922226,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/xqEDnV8VBpDb/zSp1&d5059158cdd435f57f9d182e1c80bfcb/FH1CCNR,
2025-06-13 22:46:58.146467,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/VjWg7QIi/WO&192fb148ca35b595590a28b38a94a69b/eKOYpnnbTV3,
2025-06-13 22:47:28.221032,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/nBt5L/5i6vMKhf6ZX&59c190f80b97a9fdb97350de7b65b1cf/7rVMDKKhNQ1E,
2025-06-13 22:47:58.322641,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/jaTjVx/CTXt9FA7k1xoar&1120b1782e3475b555efe21c749d4eea/j3sDojrmG,
2025-06-13 22:48:28.428861,10.6.13.133,104.21.16.1,POST,windows-msgas.com,/PoiZboy3IfqgD/1j2Sm2MFvEJr&19c1b158edb46d9dd97f41ab2253531e/DXxdup5,
2025-06-13 22:48:58.678292,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/udNnNd/g7kSz66bb&35c1d0c843d4a991237f32c05f43345d/Sjs6N,
2025-06-13 22:49:28.730287,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/cirkYkCa4qwbET/&350fb1496b1479a1429a6490c3210921/l88,
2025-06-13 22:49:58.959929,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/fB8/JijUxr&353d90b87dd47a65eb415cbd68830e03/anNgUtfcNXv,
2025-06-13 22:50:29.149314,10.6.13.133,104.21.80.1,POST,windows-msgas.com,/xGRe9TFNmehESS/qEAPcVA0ty&d521b1b8ee3449a1f6032e3e85b0e4e0/I3,
2025-06-13 22:50:59.298083,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/4/LR&3904b1574e1479b1085dc28fcca989ed/A4TJKvs,
2025-06-13 22:51:29.379527,10.6.13.133,104.21.80.1,POST,windows-msgas.com,/jswJLXwQfewe9l/6a85uXd&29c0b1c8cfb47de190768d5199f49b44/2wdu,
2025-06-13 22:51:59.554105,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/K2fOOJk/Q&35005178efb479fde35a7a9e21fa08c6/Qw4nz,
2025-06-13 22:52:29.629868,10.6.13.133,104.21.80.1,POST,windows-msgas.com,/QLHa/1am2s0fDt0x2DI&1120b2c97dccadf115a781d4e01032c9/0QyDQ,
2025-06-13 22:52:59.721909,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/p/PACARK&153dd0f87db47da5573134d960d99be3,
2025-06-13 22:53:29.821849,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/oLslQwPafzUq4/hmLnuAQvTokG&152451496d9c3591964c7626e46c6759/Eg,
2025-06-13 22:53:59.935290,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/n2wNtjMiSoO/&2920b1c82fb47995a08e846795f90cdb/LHj,
2025-06-13 22:54:30.025007,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/Cx/N5fF3Zm4giEciT&152451b81314499d524cf03c772ba1de,
2025-06-13 22:55:00.098904,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/ZN/TlutuiTpe&110091c8ed946d9d549bd44384eb12de/wU,
2025-06-13 22:55:30.185965,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/QjvJ/vPq2&354cb1fb4213a99dceb9a05dcfafb0be/I23Ll,
2025-06-13 22:56:00.319448,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/ByV5vl/&354c51cb4db42d610238f955ded57380/U,
2025-06-13 22:56:30.718129,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/ULlkXQMv/nEejk8Ai&2921b1b8fe4c39a1f023427f88c03970/kBQ4lU,
2025-06-13 22:57:00.724369,10.6.13.133,104.21.64.1,POST,windows-msgas.com,/NELbLgvs/Vznhhu&1120b1c92bb428611ceea474f3f0f105/KULxVGwNv5x,
2025-06-13 22:57:30.632665,10.6.13.133,104.21.64.1,POST,windows-msgas.com,/kxmu/75gWIznZ7awOqS&310051590d14747d2d167c08fe28c70e/zO0WeLN5IQD,
2025-06-13 22:58:00.795218,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/5TM1imBii/&d1209148c3d4b99d7ccfd8b50fcb2d37/eF1h6XNI,
2025-06-13 22:58:30.871084,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/ch68CfvZyua/nvpO2jW2126gj&290cb158ee35b5915019c30924bcb6f8/oItLdRe,
2025-06-13 22:59:00.931984,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/8z0afosQGBbOCU/bQ&3540b1f8cbb469a16bbf8c5c8bd95575/EipT8J,
2025-06-13 22:59:31.042763,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/Ysn/&153fb1487394b5919e80659747e87fdc/XXaIX3,
2025-06-13 23:00:01.122975,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/Q56/gQuZ&293c56d853ac499121307bcc57446559/YY0I3,
2025-06-13 23:00:31.213482,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/aEMnbH7G9/50uVWDc&d901b1b70dd44da1f95f6e77ae0343f0/WjJSOMS7tpFmS,
2025-06-13 23:01:01.332268,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/xT8xrxqhOxlw/9y&3104514803b44a6144d5f3137f50e611/Hkht6bQMmX,
2025-06-13 23:01:31.610807,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/w5j1arKLag/L0qMH&114451480bd449b1dd3476052b86e16d/te1ijgh4wA,
2025-06-13 23:02:01.960424,10.6.13.133,104.21.80.1,POST,event-datamicrosoft.live,/zVp07bKJM1Ki&1521d14b0dd4b5b153633d91ae487fa9/gMC6gy0T,
2025-06-13 23:02:32.130615,10.6.13.133,104.21.112.1,POST,windows-msgas.com,/R/3WTdm&5524b1490fb4bd91bac5a684bd777b78/ufyWawws,
2025-06-13 23:03:02.228340,10.6.13.133,104.21.112.1,POST,windows-msgas.com,/B5UCA/9TcIh&d5405148fdd5adf17a3372b388c2b348/GEtO7FjQN8,
2025-06-13 23:03:32.435441,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/Hy5DKjamtN5yw/qNQ9QK&3520b1594bd44da1cb22cc2adbcda3f5/McDoVAqd,
2025-06-13 23:04:02.379706,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/gS1jCqsFm25cY&d50db1c8f3b479e17a996a76a77e4d54/vo6cqHO2,
2025-06-13 23:04:32.509281,10.6.13.133,104.21.112.1,POST,windows-msgas.com,/gKB8Upe/1YTM2EFteYM&15c4514b4bd4a9615f74fa01cb0b3595/YlT5PRyDRvCp,
2025-06-13 23:05:02.578220,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/7uQe1sqGTIlU7t/f&d5c051580e3c79a17e7a7f2e29980960/5S,
2025-06-13 23:05:32.640422,10.6.13.133,104.16.230.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/a&3120b2bb2f342de18442a5fdf51df351/G45l,
2025-06-13 23:06:02.817016,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/V0Yz/k3I22t2Mv&352db158f23c3971ab696c0c07bc6c8d/b,
2025-06-13 23:06:32.887502,10.6.13.133,104.21.112.1,POST,event-datamicrosoft.live,/0mXrIBoUnse/E2w9ZZOVcjljZ&19c7d1484db5b9e5d97634044c56ac52/mKbbY1,
2025-06-13 23:07:03.020656,10.6.13.133,104.16.231.132,POST,varying-rentals-calgary-predict.trycloudflare.com,/urU2Ig/5bjPc&293cb1cf2f15b99d9090ef53b52ea95f/IvKcKKj,
2025-06-13 23:07:33.146730,10.6.13.133,104.21.96.1,POST,windows-msgas.com,/hOWk/DLcY4Uy67&2907b1c81fd42d9151d62854790e73dc,
