case,ioc_type,value,shared_with
case1,ip,13.107.246.57,"case2,case3"
case1,ip,13.70.79.200,unique
case1,ip,13.89.179.9,unique
case1,ip,184.29.137.96,unique
case1,ip,199.232.210.172,unique
case1,ip,199.232.214.172,unique
case1,ip,20.10.31.115,unique
case1,ip,20.189.173.1,unique
case1,ip,20.189.173.18,unique
case1,ip,20.189.173.26,case2
case1,ip,20.241.44.114,unique
case1,ip,20.42.73.28,case2
case1,ip,20.60.228.1,unique
case1,ip,20.96.153.111,case2
case1,ip,204.79.197.203,"case2,case3"
case1,ip,23.194.68.140,unique
case1,ip,23.195.212.189,unique
case1,ip,23.220.251.149,unique
case1,ip,23.220.251.153,unique
case1,ip,23.220.251.158,unique
case1,ip,23.220.251.47,unique
case1,ip,23.221.24.58,unique
case1,ip,23.221.24.69,unique
case1,ip,23.40.145.142,unique
case1,ip,23.45.119.143,unique
case1,ip,23.45.119.144,unique
case1,ip,23.45.119.147,unique
case1,ip,40.119.249.228,unique
case1,ip,40.126.28.12,unique
case1,ip,40.126.28.22,unique
case1,ip,46.254.34.201,unique
case1,ip,52.109.0.142,unique
case1,ip,52.109.0.91,unique
case1,ip,52.113.194.132,case2
case1,ip,79.124.78.197,unique
case2,ip,104.117.244.105,unique
case2,ip,104.117.244.106,unique
case2,ip,104.117.244.112,unique
case2,ip,104.117.244.96,unique
case2,ip,104.117.247.162,unique
case2,ip,104.117.247.184,unique
case2,ip,104.117.247.99,unique
case2,ip,104.26.1.231,unique
case2,ip,13.107.21.239,unique
case2,ip,13.107.246.57,"case1,case3"
case2,ip,13.107.5.93,unique
case2,ip,13.56.30.207,unique
case2,ip,142.250.113.120,unique
case2,ip,142.250.113.94,unique
case2,ip,142.250.115.95,case3
case2,ip,142.250.138.94,unique
case2,ip,142.251.186.147,unique
case2,ip,142.251.186.95,unique
case2,ip,151.101.66.137,unique
case2,ip,173.222.49.101,unique
case2,ip,18.160.156.103,unique
case2,ip,18.160.156.61,unique
case2,ip,193.42.38.139,unique
case2,ip,194.180.191.64,unique
case2,ip,20.189.173.16,unique
case2,ip,20.189.173.23,unique
case2,ip,20.189.173.26,case1
case2,ip,20.189.173.6,case3
case2,ip,20.42.73.25,unique
case2,ip,20.42.73.28,case1
case2,ip,20.7.1.246,unique
case2,ip,20.7.2.167,unique
case2,ip,20.96.153.111,case1
case2,ip,20.99.184.37,unique
case2,ip,204.79.197.203,"case1,case3"
case2,ip,204.79.197.239,unique
case2,ip,213.246.109.5,unique
case2,ip,23.201.68.167,unique
case2,ip,23.204.171.61,unique
case2,ip,23.221.22.209,unique
case2,ip,23.221.22.46,unique
case2,ip,23.53.127.105,unique
case2,ip,23.53.127.200,unique
case2,ip,4.149.227.78,unique
case2,ip,4.150.155.223,unique
case2,ip,40.118.171.167,unique
case2,ip,40.126.28.11,unique
case2,ip,40.126.29.9,unique
case2,ip,52.109.0.136,unique
case2,ip,52.109.20.47,unique
case2,ip,52.109.8.89,unique
case2,ip,52.113.194.132,case1
case2,ip,52.165.164.15,unique
case2,ip,52.168.112.67,unique
case2,ip,52.8.34.0,unique
case3,ip,104.16.124.96,unique
case3,ip,104.16.230.132,unique
case3,ip,104.16.231.132,unique
case3,ip,104.208.203.90,unique
case3,ip,104.21.112.1,unique
case3,ip,104.21.16.1,unique
case3,ip,104.21.24.186,unique
case3,ip,104.21.64.1,unique
case3,ip,104.21.80.1,unique
case3,ip,104.21.96.1,unique
case3,ip,109.61.92.48,unique
case3,ip,13.107.18.254,unique
case3,ip,13.107.246.57,"case1,case2"
case3,ip,13.107.42.10,unique
case3,ip,13.107.42.16,unique
case3,ip,13.74.187.43,unique
case3,ip,142.250.113.95,unique
case3,ip,142.250.115.104,unique
case3,ip,142.250.115.106,unique
case3,ip,142.250.115.94,unique
case3,ip,142.250.115.95,case2
case3,ip,142.250.115.99,unique
case3,ip,142.250.138.155,unique
case3,ip,142.250.138.97,unique
case3,ip,142.251.186.138,unique
case3,ip,150.171.27.11,unique
case3,ip,150.171.27.12,unique
case3,ip,150.171.28.11,unique
case3,ip,150.171.73.254,unique
case3,ip,157.240.24.13,unique
case3,ip,157.240.24.35,unique
case3,ip,172.202.65.254,unique
case3,ip,172.67.146.241,unique
case3,ip,173.194.208.155,unique
case3,ip,173.194.208.94,unique
case3,ip,173.222.52.33,unique
case3,ip,191.232.215.149,unique
case3,ip,20.189.173.6,case2
